cell_id,entrez_id,expression
0,11287,2
0,11298,2
0,11302,5
0,11303,2
0,11304,4
0,11305,3
0,11306,5
0,11307,2
0,11308,4
0,11350,2
0,11352,8
0,11354,8
0,11358,8
0,11363,8
0,11364,8
0,11370,8
0,11409,8
0,11416,8
0,11418,8
0,11419,8
0,11421,8
0,11423,8
0,11425,8
0,11426,8
0,11428,8
0,11429,8
0,11430,8
0,11431,8
0,11432,8
0,11433,8
0,11434,8
0,11435,8
0,11438,8
0,11440,8
0,11441,8
0,11443,8
0,11444,8
0,11447,8
0,11448,8
0,11449,8
0,11450,8
0,11451,8
0,11452,8
0,11459,8
0,11461,8
0,11464,8
0,11465,8
0,11468,8
0,11470,8
0,11471,8
0,11472,8
0,11474,8
0,11475,8
0,11477,8
0,11479,8
0,11480,8
0,11481,8
0,11482,8
0,11484,8
0,11486,8
0,11487,8
0,11488,8
0,11489,8
0,11490,8
0,11491,8
0,11492,8
0,11495,8
0,11496,8
0,11497,8
0,11498,8
0,11499,8
0,11500,8
0,11501,8
0,11502,8
0,11504,8
0,11512,8
0,11513,8
0,11514,8
0,11515,8
0,11516,8
0,11517,8
0,11518,8
0,11519,8
0,11520,8
0,11522,8
0,11529,8
0,11532,8
0,11533,8
0,11534,8
0,11535,8
0,11536,8
0,11537,8
0,11538,8
0,11539,8
0,11540,8
0,11541,8
0,11542,8
0,11544,8
0,11545,8
0,11546,8
0,11548,8
0,11549,0
0,11550,0
0,11551,0
0,11552,0
0,11553,0
0,11554,0
0,11555,0
0,11556,0
0,11564,0
0,11565,0
0,11566,0
0,11567,0
0,11568,0
0,11569,0
0,11571,0
0,11572,0
0,11576,0
0,11592,0
0,11593,0
0,11595,0
0,11596,0
0,11600,0
0,11601,0
0,11602,0
0,11603,0
0,11604,0
0,11605,0
0,11606,0
0,11607,0
0,11608,0
0,11609,0
0,11610,0
0,11611,0
0,11614,0
0,11615,0
0,11622,0
0,11624,0
0,11625,0
0,11628,0
0,11629,0
0,11630,0
0,11632,0
0,11634,0
0,11636,0
0,11637,0
0,11639,0
0,11640,0
0,11641,0
0,11642,0
0,11643,0
0,11647,0
0,11648,0
0,11650,0
0,11651,0
0,11652,0
0,11655,0
0,11656,0
0,11657,0
0,11658,0
0,11666,0
0,11668,0
0,11669,0
0,11670,0
0,11671,0
0,11674,0
0,11676,0
0,11677,0
0,11682,0
0,11684,0
0,11685,0
0,11686,0
0,11687,0
0,11688,0
0,11689,0
0,11690,0
0,11691,0
0,11692,0
0,11694,0
0,11695,0
0,11697,0
0,11698,0
0,11699,0
0,11700,0
0,11701,0
0,11702,0
0,11704,0
0,11705,0
0,11717,0
0,11720,0
0,11722,0
0,11727,0
0,11728,0
0,11730,0
0,11731,0
0,11732,0
0,11733,0
0,11735,0
0,11736,0
0,11737,0
0,11739,0
0,11740,0
0,11743,0
0,11744,0
0,11745,0
0,11746,0
0,11747,0
0,11749,0
0,11750,0
0,11752,0
0,11753,0
0,11754,0
0,11757,0
0,11758,0
0,11761,0
0,11763,0
0,11764,0
0,11765,0
0,11766,0
0,11767,0
0,11768,0
0,11769,0
0,11770,0
0,11771,0
0,11772,0
0,11773,0
0,11774,0
0,11775,0
0,11776,0
0,11777,0
0,11778,0
0,11781,0
0,11782,0
0,11783,0
0,11784,0
0,11785,0
0,11787,0
0,11789,0
0,11790,0
0,11792,0
0,11793,0
0,11796,0
0,11797,0
0,11798,0
0,11799,0
0,11800,0
0,11801,0
0,11803,0
0,11804,0
0,11806,0
0,11807,0
0,11808,0
0,11810,0
0,11811,0
0,11812,0
0,11813,0
0,11814,0
0,11815,0
0,11816,0
0,11818,0
0,11819,0
0,11820,0
0,11821,0
0,11826,0
0,11827,0
0,11828,0
0,11829,0
0,11830,0
0,11831,0
0,11832,0
0,11833,0
0,11834,0
0,11835,0
0,11836,0
0,11837,0
0,11838,0
0,11839,0
0,11840,0
0,11841,0
0,11842,0
0,11843,0
0,11844,0
0,11845,0
0,11846,0
0,11847,0
0,11848,0
0,11849,0
0,11850,0
0,11851,0
0,11852,2
0,11853,2
0,11854,2
0,11855,4
0,11856,5
0,11857,4
0,11858,2
0,11859,5
0,11861,4
0,11863,4
0,11933,4
1,11287,2
1,11298,5
1,11302,3
1,11303,4
1,11304,4
1,11305,4
1,11306,3
1,11307,5
1,11308,3
1,11350,3
1,11352,0
1,11354,0
1,11358,0
1,11363,0
1,11364,0
1,11370,0
1,11409,0
1,11416,0
1,11418,0
1,11419,0
1,11421,0
1,11423,0
1,11425,0
1,11426,0
1,11428,0
1,11429,0
1,11430,0
1,11431,0
1,11432,0
1,11433,0
1,11434,0
1,11435,0
1,11438,0
1,11440,0
1,11441,0
1,11443,0
1,11444,0
1,11447,0
1,11448,0
1,11449,0
1,11450,0
1,11451,0
1,11452,0
1,11459,0
1,11461,0
1,11464,0
1,11465,0
1,11468,0
1,11470,0
1,11471,0
1,11472,0
1,11474,0
1,11475,0
1,11477,0
1,11479,0
1,11480,0
1,11481,0
1,11482,0
1,11484,0
1,11486,0
1,11487,0
1,11488,0
1,11489,0
1,11490,0
1,11491,0
1,11492,0
1,11495,0
1,11496,0
1,11497,0
1,11498,0
1,11499,0
1,11500,0
1,11501,0
1,11502,0
1,11504,0
1,11512,0
1,11513,0
1,11514,0
1,11515,0
1,11516,0
1,11517,0
1,11518,0
1,11519,0
1,11520,0
1,11522,0
1,11529,0
1,11532,0
1,11533,0
1,11534,0
1,11535,0
1,11536,0
1,11537,0
1,11538,0
1,11539,0
1,11540,0
1,11541,0
1,11542,0
1,11544,0
1,11545,0
1,11546,0
1,11548,8
1,11549,8
1,11550,8
1,11551,8
1,11552,8
1,11553,8
1,11554,8
1,11555,8
1,11556,8
1,11564,8
1,11565,8
1,11566,8
1,11567,8
1,11568,8
1,11569,8
1,11571,8
1,11572,8
1,11576,8
